Date,Name,Title,Link
"February 3, 2020",Matt Comstock ,https://developer.salesforce.com/forums?id=9062I000000Xrs0QAC,Salesforce Developer with Health Cloud experience looking to change how healthcare is delivered in the community needed for fun company with big ambitions!
"January 28, 2020",Mario C,https://developer.salesforce.com/forums?id=9062I000000XrSvQAK,need some help developing a rather complex email automation in APEX
"January 21, 2020",Thomas Allendoerfer,https://developer.salesforce.com/forums?id=9062I000000Xr58QAC,Salesforce Developer needed - Malta
"January 16, 2020",Luca De Pasqua,https://developer.salesforce.com/forums?id=9062I000000Xqp5QAC,"Salesforce PM, Admin and Developer wanted @AMZN Seattle"
"December 17, 2019",Lee Hildebrand ,https://developer.salesforce.com/forums?id=9062I000000XpbgQAC,HCA FTE Salesforce Dev
"December 13, 2019",Marleen van Emmerik,https://developer.salesforce.com/forums?id=9062I000000XpNeQAK,Salesforce developer position at QWIC Amsterdam
"December 12, 2019",Raven Slade,https://developer.salesforce.com/forums?id=9062I000000XpKQQA0,Instructional Designer with Technical Expertise
"December 10, 2019",Brian Stoiber ,https://developer.salesforce.com/forums?id=9062I000000Xp8AQAS,Looking for developer to write a small app to be managed/sold on the App Exchange
"December 9, 2019",Rahul Sharma ,https://developer.salesforce.com/forums?id=9062I000000Xp3FQAS,salesforce admin vs developer vs salesforce lightning?
"December 8, 2019",Sandy kash,https://developer.salesforce.com/forums?id=9062I000000Xp0BQAS,How can I WRITE this type of content
